"market_pair_basecurrency_symbol","exchangename","market_pair","quoteexchange_reportedvolume_24h_base","quoteUSDlast_updated"
USDT,"1inch Exchange",USDT/SUSD,128719.86538178,"2021-06-08T15:03:22.000Z"
USDT,Polyx,USDT/USD,120144.87319169,"2021-06-08T15:09:12.000Z"
USDT,KuCoin,USDT/PAX,118328.74823555,"2021-06-08T15:07:53.000Z"
USDT,OpenOcean,USDT/BUSD,116061.50831128,"2021-06-08T15:06:10.000Z"
USDT,WhiteBIT,USDT/USD,100556.03600000,"2021-06-08T15:09:07.000Z"
USDT,BakerySwap,USDT/BUSD,85232.95944561,"2021-06-08T15:06:14.000Z"
USDT,Virtuse Exchange,USDT/BUSD,82700.67009292,"2021-04-21T13:09:07.000Z"
USDT,CoinFLEX,USDT/USD,70706.60217740,"2021-06-08T15:09:11.000Z"
USDT,JulSwap,USDT/BUSD,65425.16891051,"2021-06-08T15:06:07.000Z"
USDT,DODO BSC,USDT/USDC,55722.40876696,"2021-06-08T15:06:53.000Z"
USDT,Zipmex,USDT/USD,53387.28387165,"2021-06-08T15:09:11.000Z"
USDT,Changelly PRO,USDT/USDC,51406.76140843,"2021-06-08T15:06:11.000Z"
USDT,HitBTC,USDT/USDC,51406.76140843,"2021-06-08T15:06:12.000Z"
USDT,Bibox,USDT/USDC,50786.00000000,"2021-06-08T15:06:07.000Z"
USDT,HitBTC,USDT/PAX,46073.15686973,"2021-06-08T15:06:12.000Z"
USDT,MXC.COM,USDT/UST,38398.13000000,"2021-06-08T15:06:16.000Z"
USDT,Folgory,USDT/DAI,37486.68755600,"2021-06-08T15:06:13.000Z"
USDT,Independent Reserve,USDT/USD,36891.06748000,"2021-06-08T15:09:12.000Z"
USDT,HitBTC,USDT/TUSD,31000.66878928,"2021-06-08T15:03:12.000Z"
USDT,Changelly PRO,USDT/TUSD,31000.66878928,"2021-06-08T15:03:11.000Z"
USDT,Tidex,USDT/USD,28571.97979798,"2021-06-08T15:09:26.000Z"
USDT,HitBTC,USDT/DAI,27599.41726244,"2021-06-08T15:06:12.000Z"
USDT,Changelly PRO,USDT/DAI,27599.41726244,"2021-06-08T15:06:11.000Z"
USDT,Honeyswap,USDT/USDC,14463.59902640,"2021-06-08T15:06:11.000Z"
USDT,"0x Protocol",USDT/TUSD,13599.98838400,"2021-06-07T15:39:16.000Z"
USDT,OpenOcean,USDT/USDC,12353.23233110,"2021-06-08T10:36:12.000Z"
USDT,OpenOcean,USDT/UST,10000.00000000,"2021-06-01T08:06:12.000Z"
USDT,Kuna,USDT/USD,8907.79400000,"2021-06-08T15:09:12.000Z"
USDT,"50x",USDT/TUSD,3605.39880755,"2021-06-08T15:03:13.000Z"
