"market_pair_basecurrency_symbol","exchangename","market_pair","quoteexchange_reportedvolume_24h_base","quoteUSDlast_updated"
USDT,"1inch Exchange",USDT/USDC,7214899.63774410,"2021-06-21T12:57:19.000Z"
USDT,Okcoin,USDT/USD,6773925.24467553,"2021-06-21T12:57:10.000Z"
USDT,KuCoin,USDT/USDC,5017176.83278575,"2021-06-21T12:58:53.000Z"
USDT,FTX,USDT/USD,3854549.70657066,"2021-06-21T12:57:21.000Z"
USDT,KLAYswap,USDT/DAI,3801033.01569357,"2021-06-21T12:57:08.000Z"
USDT,BKEX,USDT/DAI,2798206.36460000,"2021-06-21T12:57:12.000Z"
USDT,EXMO,USDT/USD,2434894.31957308,"2021-06-21T12:57:11.000Z"
USDT,Blockchain.com,USDT/USD,1897674.77563137,"2021-06-21T12:57:11.000Z"
USDT,BTSE,USDT/USD,1739863.39198241,"2021-06-21T12:57:44.000Z"
USDT,CEX.IO,USDT/USD,1124972.94385300,"2021-06-21T12:57:11.000Z"
USDT,Emirex,USDT/USD,1075585.45286854,"2021-06-21T12:57:13.000Z"
USDT,Waves Exchange,USDT/USDN,928286.40687800,"2021-06-21T13:00:08.000Z"
USDT,BHEX (BlueHelix Exchange),USDT/HUSD,918430.76707611,"2021-06-21T12:57:11.000Z"
USDT,"0x Protocol",USDT/USDC,897792.00634390,"2021-06-21T12:57:18.000Z"
USDT,BTSE,USDT/USD,822689.12838193,"2021-06-21T12:57:11.000Z"
USDT,Curve Finance,USDT/PAX,784504.66090476,"2021-06-20T09:27:07.000Z"
USDT,Bilaxy,USDT/DAI,681144.66000000,"2021-06-21T12:57:07.000Z"
USDT,Bitstamp,USDT/USD,649142.96336000,"2021-06-21T12:58:53.000Z"
USDT,"1inch Exchange",USDT/FEI,634694.06122173,"2021-06-21T13:00:22.000Z"
USDT,Poloniex,USDT/USDC,610379.66360052,"2021-06-21T12:58:53.000Z"
USDT,"0x Protocol",USDT/DAI,600918.33856932,"2021-06-21T12:57:18.000Z"
USDT,KuCoin,USDT/DAI,538827.36082597,"2021-06-21T12:58:53.000Z"
USDT,DODO BSC,USDT/USDC,516970.98152356,"2021-06-21T12:58:20.000Z"
USDT,KuCoin,USDT/TUSD,515298.74262672,"2021-06-21T12:55:53.000Z"
USDT,OceanEx,USDT/USD,493206.87000000,"2021-06-21T12:57:12.000Z"
USDT,PancakeSwap,USDT/BUSD,410876.91805896,"2021-06-21T12:57:11.000Z"
USDT,CoinZoom,USDT/USD,280640.33806761,"2021-06-21T12:57:07.000Z"
USDT,B2BX,USDT/USD,216850.97621246,"2021-06-21T12:57:13.000Z"
USDT,PancakeSwap (V2),USDT/DAI,187358.08224468,"2021-06-14T15:13:36.000Z"
USDT,Zipmex,USDT/USD,152491.98781425,"2021-06-21T12:57:12.000Z"
USDT,WhiteBIT,USDT/USD,129423.92170000,"2021-06-21T12:57:07.000Z"
USDT,Polyx,USDT/USD,117356.43038518,"2021-06-21T12:57:11.000Z"
USDT,MXC.COM,USDT/UST,103689.91000000,"2021-06-21T13:00:14.000Z"
USDT,Emirex,USDT/DAI,85860.17045159,"2021-06-21T12:57:13.000Z"
USDT,Virtuse Exchange,USDT/BUSD,82700.67009292,"2021-04-21T13:09:07.000Z"
USDT,KuCoin,USDT/PAX,67487.55027715,"2021-06-21T12:58:53.000Z"
USDT,Bibox,USDT/USDC,54054.00000000,"2021-06-21T12:57:11.000Z"
USDT,OpenOcean,USDT/DAI,50315.27504378,"2021-06-21T12:57:13.000Z"
USDT,Changelly PRO,USDT/USDC,49695.51975061,"2021-06-21T12:57:12.000Z"
USDT,HitBTC,USDT/USDC,49695.51975061,"2021-06-21T12:57:11.000Z"
USDT,JulSwap,USDT/BUSD,42726.10590535,"2021-06-21T12:57:11.000Z"
USDT,HitBTC,USDT/DAI,33761.61552776,"2021-06-21T12:57:11.000Z"
USDT,Changelly PRO,USDT/DAI,33761.61552776,"2021-06-21T12:57:12.000Z"
USDT,Folgory,USDT/DAI,32499.62750400,"2021-06-21T12:57:08.000Z"
USDT,FTX US,USDT/USD,26396.84400620,"2021-06-21T12:57:11.000Z"
USDT,Tidex,USDT/USD,25995.92929293,"2021-06-21T12:57:13.000Z"
USDT,Tokenize Xchange,USDT/USD,21428.19894568,"2021-06-21T12:57:11.000Z"
USDT,Kuna,USDT/USD,21217.78400000,"2021-06-21T12:57:13.000Z"
USDT,Curve Finance,USDT/TUSD,21030.85112790,"2021-06-20T07:57:09.000Z"
USDT,BakerySwap,USDT/BUSD,20431.32722874,"2021-06-21T12:57:18.000Z"
USDT,Honeyswap,USDT/USDC,17501.20495111,"2021-06-21T12:57:11.000Z"
USDT,OpenOcean,USDT/USDC,15840.82913470,"2021-06-21T12:57:13.000Z"
USDT,HitBTC,USDT/PAX,10580.10729964,"2021-06-21T12:57:11.000Z"
USDT,"1inch Exchange",USDT/SUSD,7605.50483374,"2021-06-21T12:57:19.000Z"
USDT,HitBTC,USDT/TUSD,4972.85326717,"2021-06-21T12:54:12.000Z"
USDT,Changelly PRO,USDT/TUSD,4972.85326717,"2021-06-21T12:54:13.000Z"
USDT,OpenOcean,USDT/UST,3874.05326570,"2021-06-21T13:00:08.000Z"
USDT,Coinsuper,USDT/USD,2444.61521411,"2021-06-21T12:57:14.000Z"
USDT,CoinDCX,USDT/DAI,1315.20835770,"2021-06-21T12:57:11.000Z"
USDT,"50x",USDT/TUSD,814.19512488,"2021-06-21T12:54:08.000Z"
USDT,NiceHash,USDT/USDC,123.35137406,"2021-06-21T12:57:10.000Z"
USDT,BITEXBOOK,USDT/USD,102.90093683,"2021-06-21T12:57:12.000Z"
USDT,Dove Wallet,USDT/USDC,63.69716235,"2021-06-21T12:57:11.000Z"
USDT,EQONEX,USDT/USDC,49.98000000,"2021-06-21T12:57:08.000Z"
USDT,Curve Finance,USDT/BUSD,49.28578486,"2021-06-21T12:57:11.000Z"
USDT,"0x Protocol",USDT/PAX,37.81659800,"2021-06-20T09:18:17.000Z"
USDT,SwipeSwap,USDT/BUSD,37.31137826,"2021-06-21T12:57:08.000Z"
USDT,Dove Wallet,USDT/PAX,33.99886773,"2021-06-21T12:57:11.000Z"
USDT,"0x Protocol",USDT/TUSD,19.82599100,"2021-06-21T04:00:12.000Z"
USDT,Kuna,USDT/USDC,16.67000000,"2021-06-21T12:57:13.000Z"
USDT,Dove Wallet,USDT/TUSD,14.40607932,"2021-06-21T12:54:07.000Z"
USDT,Nash,USDT/USDC,6.00000000,"2021-01-25T07:42:07.000Z"
USDT,"50x",USDT/DAI,4.10635724,"2021-06-21T12:57:08.000Z"
USDT,Mooniswap,USDT/DAI,1.00000000,"2021-06-18T09:27:10.000Z"
USDT,Mooniswap,USDT/USDC,0.21075000,"2021-06-18T10:48:09.000Z"
USDT,EMX,USDT/USD,0.00000000,"2021-06-07T05:57:44.000Z"
USDT,Beaxy,USDT/USDC,0.00000000,"2021-06-21T12:57:10.000Z"
USDT,Coindeal,USDT/USD,0.00000000,"2021-02-11T10:30:17.000Z"
USDT,Switcheo Network,USDT/DAI,0.00000000,"2021-06-21T12:57:10.000Z"
USDT,Independent Reserve,USDT/USD,0.00000000,"2021-06-21T12:57:14.000Z"
USDT,Huobi Global,USDT/USD,0.00000000,"2020-12-09T03:45:45.000Z"
USDT,CoinFLEX,USDT/USD,0.00000000,"2021-06-21T12:57:10.000Z"
USDT,CoinFLEX,USDT/USD,0.00000000,"2021-06-21T12:57:43.000Z"
USDT,Huobi Indonesia,USDT/HUSD,0.00000000,"2021-06-21T12:57:12.000Z"
USDT,SwipeSwap,USDT/USDC,0.00000000,"2021-06-21T12:57:08.000Z"
UST,PancakeSwap (V2),UST/BUSD,2104190.30665881,"2021-06-21T13:00:17.000Z"
UST,"1inch Exchange",UST/USDT,994999.87145879,"2021-06-21T13:00:22.000Z"
UST,Uniswap (V2),UST/USDT,302935.27215587,"2021-06-21T13:00:13.000Z"
UST,OpenOcean,UST/BUSD,294393.16056256,"2021-06-21T13:00:08.000Z"
UST,Bittrex,UST/USDT,285759.43635098,"2021-06-21T13:01:53.000Z"
UST,MXC.COM,UST/USDT,90781.21000000,"2021-06-21T13:00:14.000Z"
UST,Gate.io,UST/USDT,57688.77104250,"2021-06-21T13:01:54.000Z"
UST,DODO BSC,UST/BUSD,13312.12435391,"2021-06-14T03:57:22.000Z"
UST,OpenOcean,UST/USDC,4016.94604600,"2021-06-17T06:45:08.000Z"
UST,OpenOcean,UST/USDT,3935.23044618,"2021-06-21T13:00:08.000Z"
